timestamp,date,time,store_id,store_name,wait_count,area,day_of_week,hour,weekday_num,is_weekend,scraping_status
2025-08-06 20:44:50,2025-08-06,20:44,nagoya_demo_store,アルペンモール守山志段味店,0,愛知県,Wednesday,20,2,False,success
2025-08-06 11:56:14,2025-08-06,11:56,nagoya_demo_store,アルペンモール守山志段味店,0,愛知県,Wednesday,11,2,False,success
2025-08-07 00:04:40,2025-08-07,00:04,nagoya_demo_store,アルペンモール守山志段味店,0,愛知県,Thursday,0,3,False,success
2025-08-07 02:41:22,2025-08-07,02:41,nagoya_demo_store,アルペンモール守山志段味店,0,愛知県,Thursday,2,3,False,success
2025-08-07 03:23:51,2025-08-07,03:23,nagoya_demo_store,アルペンモール守山志段味店,0,愛知県,Thursday,3,3,False,success
2025-08-07 04:17:09,2025-08-07,04:17,nagoya_demo_store,アルペンモール守山志段味店,0,愛知県,Thursday,4,3,False,success
2025-08-07 06:02:21,2025-08-07,06:02,nagoya_demo_store,アルペンモール守山志段味店,0,愛知県,Thursday,6,3,False,success
2025-08-07 08:01:58,2025-08-07,08:01,nagoya_demo_store,アルペンモール守山志段味店,0,愛知県,Thursday,8,3,False,success
2025-08-09 14:13:44,2025-08-09,14:13,nagoya_moriyama_shidami,アルペンモール守山志段味店,2,愛知県,Saturday,14,5,True,success
2025-08-09 14:18:52,2025-08-09,14:18,nagoya_moriyama_shidami,アルペンモール守山志段味店,3,愛知県,Saturday,14,5,True,success
2025-08-09 14:21:03,2025-08-09,14:21,nagoya_moriyama_shidami,アルペンモール守山志段味店,1,愛知県,Saturday,14,5,True,success
2025-08-09 14:21:20,2025-08-09,14:21,nagoya_moriyama_shidami,アルペンモール守山志段味店,1,愛知県,Saturday,14,5,True,success
2025-08-09 14:22:09,2025-08-09,14:22,nagoya_moriyama_shidami,アルペンモール守山志段味店,1,愛知県,Saturday,14,5,True,success
2025-08-09 14:27:30,2025-08-09,14:27,nagoya_moriyama_shidami,アルペンモール守山志段味店,2,愛知県,Saturday,14,5,True,success
2025-08-09 14:27:52,2025-08-09,14:27,nagoya_moriyama_shidami,アルペンモール守山志段味店,2,愛知県,Saturday,14,5,True,success
2025-08-09 14:31:12,2025-08-09,14:31,nagoya_moriyama_shidami,アルペンモール守山志段味店,3,愛知県,Saturday,14,5,True,success
